"";"dorama_id";"dorama_title"
"74";12336;"Queen of the Game"
"75";12495;"My 19 Years Old Sister In Law"
"76";12584;"Athena: Goddess of War"
"77";13463;"Smile Again"
"78";14026;"Happy Together"
"79";14725;"First Love of a Royal Prince"
"80";14882;"Confession"
"81";14904;"The King Dae Joyoung"
"82";14953;"Hong Gil Dong"
"83";15137;"Sungkyunkwan Scandal"
"84";15141;"Soul Mate"
"85";15340;"Hwang Jin Yi"
"86";15429;"Alone in Love"
"87";15939;"Summer Scent"
"88";16088;"Boys over flowers"
"89";16150;"Dream High"
"90";16338;"Air City"
"91";16769;"Age of Heroes"
"92";17306;"Coffee Prince"
"93";18203;"A Good Man"
"94";18305;"Oh! My Lady"
"95";18508;"Secret Garden"
"96";18912;"Love Story in Harvard"
"97";19264;"Sweet Spy"
"98";19275;"The Legendary Police Woman"
"99";19371;"Famous Princesses"
"100";19692;"Angel's Kiss"
"101";19943;"Stairway to Heaven"
"102";20012;"Days in the Sun"
"103";20465;"Ja Myung Go"
"104";20531;"We Got Married (우리 결혼했어요)"
"105";20563;"Loving You"
"106";20637;"Bad Boys (KR)"
"107";20688;"Running Man"
"108";20752;"Love of Thousands Years"
"109";20757;"Romance (KR)"
"110";20798;"Great Expectations"
"111";20894;"Strong Heart (강심장)"
"112";20949;"Sea of Sisters"
"113";21052;"Immortal Lee Soon Shin"
"114";21127;"Song of the Prince"
"115";21167;"Bright Girl’s Success"
"116";21536;"Money’s Warfare"
"117";22080;"Lovers"
"118";22250;"Scent of a Woman"
"119";22252;"Be Strong, Geum-soon"
"120";22586;"Ms. Kim’s Million Dollar Quest"
"121";22772;"Beethoven virus"
"122";22809;"The Return of Iljimae"
"123";22847;"Fireworks"
"124";22864;"Dancing with the Stars (KS)"
"125";22930;"Shining Days"
"126";23042;"MAGIC"
"127";23153;"Star King (스타킹)"
"128";23235;"Sad Love Story"
"129";23300;"A Farewell to Sorrow"
"130";23432;"Bodyguard"
"131";23585;"Stained Glass"
"132";23951;"Surgeon Bong Dal Hee"
"133";24328;"Love Rain"
"134";24329;"White Christmas"
"135";24330;"What's Up"
"136";24423;"Flowers for My Life"
"137";24480;"Haru : An Unforgettable Day in Korea"
"138";24484;"The Fugitive: Plan B"
"139";24485;"Princess Ja Myung Go"
"140";24486;"I Am Sam"
"141";24657;"Fashion 70s"
"142";24929;"Cinderella"
"143";25542;"Into the Sun"
"144";25567;"Big"
"145";25603;"Spy Myung Wol"
"146";25648;"My Country Calls / Secret Agent Miss Oh"
"147";25649;"My Happy Home / My Sweet Home"
"148";25663;"Shut Up Flower Boy Band"
"149";25670;"City Hunter (SK)"
"150";25676;"Bad Guy"
"151";25711;"49 Days"
"152";25723;"The Age of Warriors"
"153";25752;"Rookie"
"154";25810;"Rosemary"
"155";25842;"Doctor Brothers"
"156";25850;"Miss Mermaid"
"157";25909;"K-POP - The Ultimate Audition"
"158";25910;"To the Beautiful You"
"159";25937;"Sweet Buns"
"160";26001;"The Next"
"161";26055;"Queen Inhyun's Man"
"162";26121;"The Greatest Love"
"163";26297;"Into the Storm"
"164";26330;"Thank You, My Life"
"165";26395;"Law Firm"
"166";26400;"Love & Hate"
"167";26410;"A Thousand Days' Promise"
"168";26421;"Bad Girls (KR)"
"169";26604;"Emperor Wang Gun"
"170";26620;"Girls' High School People"
"171";26704;"Capital Scandal"
"172";26740;"Lie to Me"
"173";26800;"Crossed Fate"
"174";26822;"Sunshine (KR)"
"175";26851;"Time Slip Dr. Jin"
"176";26856;"Faith"
"177";26962;"Sweetheart"
"178";27042;"3 Leaf Clover"
"179";27096;"Shin Don"
"180";27198;"My Husband's Woman"
"181";27224;"Foxy Lady!"
"182";27269;"Legends of Love"
"183";27278;"Ma Boy"
"184";27287;"Arang and the Magistrate"
"185";27297;"Freeze"
"186";27299;"New Tales of Gisaeng"
"187";27300;"Soul"
"188";27301;"Killer K"
"189";27305;"Dream of 400 Years"
"190";27327;"Crazy in Love"
"191";27348;"The Princess' Man"
"192";27350;"The Moon That Embraces the Sun"
"193";27352;"Snow Flakes"
"194";27382;"You and I"
"195";27399;"the King 2 Hearts"
"196";27407;"Heartstrings (You've Fallen for Me)"
"197";27452;"Lawyers"
"198";27488;"Reply 1997"
"199";27513;"Coffee House"
"200";27585;"The Innocent Man"
"201";27600;"PUNCH"
"202";27642;"Secret"
"203";27673;"Remember"
"204";27713;"Seoul 1945"
"205";27737;"Memories (KR)"
"206";27877;"Heaven's Fate"
"207";27883;"MIna"
"208";27905;"My Rosy Life"
"209";27955;"End of Love"
"210";28032;"Great Ambition"
"211";28063;"Chuno"
"212";28083;"May Queen"
"213";28084;"Five Fingers (2012)"
"214";28156;"Ghost"
"215";28176;"Salt Doll"
"216";28183;"The War of Roses"
"217";28189;"The Age of Innocence"
"218";28226;"So In Love"
"219";28292;"Dangerous Love"
"220";28295;"Pearl Necklace"
"221";28305;"That Woman"
"222";28309;"Mr. Duke"
"223";28361;"Moon Hee"
"224";28382;"Love Letter"
"225";28408;"Behind The White Tower"
"226";28441;"Spring Days"
"227";28442;"When Spring Comes"
"228";28483;"Rules of Love"
"229";28514;"Glass Shoes"
"230";28538;"The Unstoppables"
"231";28569;"April Kiss"
"232";28579;"Hero: Unseen Warfare"
"233";28639;"December Fever"
"234";28829;"Four Sisters"
"235";28842;"Rooftop Prince"
"236";28891;"East Of Eden (KR)"
"237";28895;"History of the Salaryman"
"238";28918;"Hearts of Nineteen"
"239";28919;"Smile, You"
"240";28957;"Roses and Bean Sprouts"
"241";29014;"Ladies of the Palace"
"242";29035;"My Name Is Princess"
"243";29096;"Feast of Gods"
"244";29109;"Juliet…s Man"
"245";29165;"90 Days, Time to Love"
"246";29171;"Stars Falling From the Sky"
"247";29190;"My Beloved Sister"
"248";29228;"Haeundae Lovers"
"249";29229;"Golden Bride"
"250";29243;"Phoenix (KR)"
"251";29313;"Sweet Heart, Sweet Darling"
"252";29321;"Hotelier"
"253";29345;"Wedding"
"254";29356;"Bad Couple (KR)"
"255";29358;"Cheongdamdong Alice"
"256";29359;"School 2013"
"257";29371;"Into the Sunlight"
"258";29372;"Let's Get Married"
"259";29374;"Creating Destiny"
"260";29420;"SWAT Police"
"261";29480;"Paradise Ranch"
"262";29488;"A Thousand Kisses"
"263";29494;"The King of Dramas"
"264";29498;"Prosecutor Princess"
"265";29499;"Panda and Hedgehog"
"266";29516;"Vampire Prosecutor"
"267";29537;"The Kingdom of The Winds"
"268";29553;"Obstetrics and Gynecology Doctors"
"269";29603;"Gyeoul Yeonga"
"270";29658;"Golden Apple"
"271";29667;"Beautiful Temptation"
"272";29687;"Flower Boy Ramyun Shop"
"273";29692;"My Princess"
"274";29750;"First Love (2003)"
"275";29755;"Fairy and Swindler"
"276";29850;"Stock Flower"
"277";29865;"Full House 2"
"278";29976;"Lotus Flower Fairy"
"279";30006;"TV Novel - Wind Flower"
"280";30055;"Flower Boy Next Door"
"281";30067;"Missing You (2012)"
"282";30120;"Tree With Deep Roots"
"283";30210;"Breathless"
"284";30225;"Love in Heaven"
"285";30333;"7th Grade Civil Servant"
"286";30431;"Sirius"
"287";30476;"It's Alright, Daddy's Daughter"
"288";30494;"A Gentleman's Dignity"
"289";30501;"Padam Padam: The Sound of His and Her Heartbeats"
"290";30503;"Rose Fence"
"291";30546;"Shining Inheritance"
"292";30575;"City Lovers"
"293";30577;"Love and Ambition"
"294";30586;"Family Honor"
"295";30668;"Personal Taste"
"296";30701;"Hateful But Once Again"
"297";30745;"The World That They Live In"
"298";30786;"Damo"
"299";30788;"Can You Hear My Heart?"
"300";30811;"That Winter, The Wind Blows"
"301";30818;"Ad Genius Lee Tae Baek"
"302";30819;"Queen of Ambition"
"303";30820;"Nine: Nine Time Travels"
"304";30886;"Explorers Of The Human Body"
"305";30903;"Superstar K"
"306";30964;"Ruler of Your Own World"
"307";31075;"Lovers in Paris"
"308";31199;"Sunflower"
"309";31205;"One Million Roses"
"310";31214;"Forever Yours"
"311";31360;"Ta-Dah! It's B.A.P"
"312";31515;"Escape From Unemployment"
"313";31567;"The Truth"
"314";31588;"Vampire idol"
"315";31591;"Protect the Boss"
"316";31592;"Can We Get Married?"
"317";31599;"Me Too, Flower"
"318";31608;"INFINITE's Ranking King"
"319";31611;"Robber"
"320";31612;"Shinhwa Broadcast"
"321";31625;"Come on over"
"322";31626;"All About Eve"
"323";31633;"Baby-faced Beauty"
"324";31656;"Swan Lake"
"325";31666;"Terms of Endearment"
"326";31761;"Gu Family Book"
"327";31762;"B.A.P's Killing Camp"
"328";31878;"Pasta"
"329";31966;"Hello, Francesca"
"330";32055;"Us & Them"
"331";32065;"Family Outing"
"332";32116;"Take Care of Agasshi /My Fair Lady"
"333";32181;"A Man Called God"
"334";32184;"Come Back Soon-ae!"
"335";32196;"Ojakkyo Brothers"
"336";32208;"Infinite Challenge"
"337";32261;"My Lovely Fool"
"338";32295;"Medical Center (KR)"
"339";32342;"Star's Lovers"
"340";32345;"You're the Best, Lee Soon Shin"
"341";32354;"Nail Salon Paris"
"342";32356;"Monstar"
"343";32397;"Shooting the Star"
"344";32416;"Lovers in Prague"
"345";32418;"Warrior Baek Dong Soo"
"346";32419;"My Shining Girl"
"347";32444;"The Queen's Classroom"
"348";32446;"Two Weeks"
"349";32447;"The Master's Sun"
"350";32448;"The Heirs"
"351";32457;"The Goddess of Fire, Jung-Yi"
"352";32458;"Scandal (SK)"
"353";32475;"SHINee One Fine Day"
"354";32497;"Honesty"
"355";32498;"Last Scandal"
"356";32507;"Inspector Park Moon Soo"
"357";32513;"9 End 2 Outs"
"358";32516;"Incarnation of Money"
"359";32517;"Cruel City"
"360";32630;"She Is Cool!"
"361";32634;"More Beautiful Than a Flower"
"362";32637;"I Hear Your Voice"
"363";32738;"Her Legend"
"364";32739;"Who Are You?"
"365";32740;"Green Scalpel"
"366";32742;"The Blade and Petal"
"367";32786;"Ice Flower"
"368";32858;"Barefoot Friends"
"369";32878;"Она - просто нечто / She is WOW"
"370";32887;"Huh Joon"
"371";32909;"Tomato"
"372";32910;"Star in My Heart"
"373";32945;"The Painter of the Wind"
"374";32946;"The Gumiho's Revenge"
"375";32955;"Miss Ripley"
"376";33059;"You Are My Oppa"
"377";33062;"The Bad Housewife"
"378";33131;"Jang Ok Jung, Living in Love"
"379";33144;"What Happened on Island?"
"380";33233;"Super Rookie"
"381";33324;"Country Princess"
"382";33387;"Temptation of an Angel"
"383";33424;"Man of the Sun, Lee Je-ma"
"384";33434;"Агентство ""Сирано"" / Dating Agency: Cyrano"
"385";33466;"My Love (2006)"
"386";33468;"Side Street People"
"387";33519;"Bridal Mask"
"388";33618;"Screen"
"389";33636;"HIT"
"390";33725;"Good Bye, Solo"
"391";33729;"Yoo-ryeong"
"392";33730;"When a Man Loves"
"393";33792;"Yi San"
"394";33883;"Heroes (영웅호걸)"
"395";33915;"Operation Proposal"
"396";33931;"I need romance 2012"
"397";33951;"A Hundred Year’s Inheritance"
"398";33984;"Secret Love"
"399";34013;"Dr. Gang"
"400";34017;"I need romance"
"401";34021;"Powerful Opponents"
"402";34025;"The Secret Angel"
"403";34032;"Marry Him If You Dare"
"404";34033;"Medical Top Team"
"405";34034;"Cheo Yong"
"406";34035;"Passionate Love"
"407";34042;"My Daughter Seo Yeong"
"408";34067;"The King’s Woman"
"409";34074;"Suspicious Housekeeper"
"410";34075;"Waiting for Love"
"411";34226;"God's Quiz"
"412";34257;"On the Prairie"
"413";34272;"City Hall (2009)"
"414";34305;"Guardian Angel"
"415";34311;"Reply 1994"
"416";34325;"Love is All Around"
"417";34586;"Empress Ki"
"418";34588;"High Kick! The Revenge of the Short Legged"
"419";34599;"Fashion King"
"420";34605;"Golden Rainbow"
"421";34606;"Bel Ami"
"422";34609;"Age of feeling: Inspiring generation"
"423";34622;"Miss Korea"
"424";34623;"The Prime Minister and I"
"425";34624;"The Woman Who Married Three Times"
"426";34625;"Melody of Love"
"427";34626;"Man from the Stars"
"428";34634;"High Kick Through the Roof"
"429";34638;"Hold My Hand"
"430";34639;"Unemployed Romance"
"431";34645;"King's Daughter, Soo Baek Hyang"
"432";34646;"Your Neighbor's Wife"
"433";34647;"Basketball (2013)"
"434";34753;"Weekly Idol (주간 아이돌)"
"435";34786;"Ugly Alert"
"436";34788;"Mamma Mia (맘마미아)"
"437";34839;"Conspiracy in the Court"
"438";34877;"King of Baking, Kim Tak Goo"
"439";34914;"WIN: Who is Next?"
"440";34919;"Phantom"
"441";35003;"Exo Showtime"
"442";35019;"Cain and Abel"
"443";35052;"One Well-Raised Daughter"
"444";35204;"Let's Eat"
"445";35205;"Sandglass"
"446";35342;"Gloria (Geulroria)"
"447";35348;"Jungle Fish 2"
"448";35352;"Hello Baby"
"449";35443;"K-pop Star"
"450";35596;"WINNER TV"
"451";35619;"Emergency Man and Woman"
"452";35653;"I Need Romance 3"
"453";35657;"Take Care of Us, Captain"
"454";35658;"Romance Town"
"455";35697;"Real Experience Project: The Human Condition"
"456";35706;"A Little Love Never Hurts"
"457";35725;"The thousandth man"
"458";35739;"The Man Who Can't Get Married"
"459";35755;"Billie Jean, Look at Me"
"460";35840;"Cool Kiz On The Block"
"461";35861;"Special Affairs Team TEN"
"462";35873;"Sweet Bear"
"463";35881;"A Delicious Proposal"
"464";35927;"Water Flower"
"465";35967;"MTV Diary BtoB"
"466";35973;"You're Only Mine"
"467";35987;"Can We Love?"
"468";35988;"Shining Romance"
"469";35989;"One Warm Word"
"470";36000;"Jeong Do Jeon"
"471";36023;"My name is Kim Sam Soon"
"472";36038;"Beyond the Clouds"
"473";36044;"The Bean Chaff of My Life"
"474";36054;"Angel's Revenge"
"475";36055;"God's Gift - 14 Days"
"476";36056;"Mimi"
"477";36057;"Bride of the Century"
"478";36058;"Wonderful Days"
"479";36059;"Her Lovely Heels"
"480";36060;"Cunning Single Lady"
"481";36061;"Three Days"
"482";36099;"Adolescence Medley"
"483";36104;"Love Truly"
"484";36121;"Cinderella's Stepsister"
"485";36190;"A Happy Woman"
"486";36207;"VIXX MyDol"
"487";36310;"Hotel King"
"488";36311;"Wild Chives and Soy Bean Soup: 12 Years Reunion"
"489";36314;"Mother's Garden"
"490";36316;"Angel Eyes"
"491";36382;"Welcome to the Show"
"492";36392;"Paper Crane"
"493";36406;"All About My Romance"
"494";36566;"Secret Love Affair"
"495";36575;"Snowflower"
"496";36582;"Steal My Heart"
"497";36686;"This is INFINITE"
"498";36785;"5th Republic"
"499";36796;"Hello My Teacher"
"500";36800;"Jikjangui Shin"
"501";36878;"Single & Fabulous"
"502";36906;"High as the Sky, Wide as the Earth"
"503";36943;"Come! Jang Bo Ri"
"504";36944;"Into the Flames"
"505";36946;"Big Man"
"506";36947;"Gap Dong"
"507";36948;"Golden Cross"
"508";36954;"A Witch's Love"
"509";36978;"A Man's Story"
"510";37121;"A Problem At My Younger Brother’s House"
"511";37131;"Korea's Got Talent"
"512";37147;"Goodbye My Love"
"513";37155;"Showtime: Burning the Beast"
"514";37165;"Glorious Day"
"515";37166;"A New Leaf"
"516";37167;"Doctor Stranger"
"517";37168;"You're All Surrounded"
"518";37248;"Grandpas Over Flowers Investigation Team"
"519";37249;"Triangle"
"520";37256;"God of War"
"521";37257;"King Gwanggaeto the Great"
"522";37258;"The King's Dream"
"523";37302;"Yoo Na's Street"
"524";37306;"Coma (KOR)"
"525";37396;"The 101st Proposal"
"526";37404;"Cloud Staircase"
"527";37407;"Oh! Feel Young"
"528";37408;"Blue Fish"
"529";37410;"Six Love Stories"
"530";37411;"Did We Really Love"
"531";37496;"This Is Love"
"532";37510;"Roommate (룸메이트)"
"533";37529;"South Of the Sun"
"534";37579;"King of High School Life Conduct"
"535";37609;"Roommate"
"536";37625;"Make a Wish"
"537";37626;"Cuckoo Nest"
"538";37627;"My Dear Cat"
"539";37640;"The Joseon Shooter"
"540";37645;"Only Love"
"541";37646;"Secret Love - Kara"
"542";37706;"After School Club"
"543";37709;"Endless Love"
"544";37723;"Wild Romance"
"545";37784;"Trot Lovers"
"546";37785;"Marriage, Not Dating"
"547";37834;"Love & Success"
"548";37844;"Wife Scandal - The Wind Rises"
"549";37845;"High School - Love On"
"550";37852;"Jessica & Krystal"
"551";37865;"MBLAQ Idol Manager"
"552";38014;"Plus Nine Boys"
"553";38015;"It's Okay, It's Love"
"554";38016;"What's With This Family"
"555";38017;"Finding True Love"
"556";38018;"The Night Watchman"
"557";38019;"Iron Man"
"558";38020;"Cantabile Tomorrow"
"559";38021;"Magic Hanja"
"560";38022;"Temptation (2014)"
"561";38023;"Cheongdamdong Scandal"
"562";38024;"Irreversible Love"
"563";38025;"Gold Tower"
"564";38060;"Fated to Love You"
"565";38096;"B.A.P Attack!"
"566";38115;"Affection"
"567";38180;"We Got Married: Global Edition"
"568";38244;"To Be with You"
"569";38335;"Sign"
"570";38413;"My Secret Hotel"
"571";38415;"Mama (SK)"
"572";38416;"The Mermaid"
"573";38535;"Piano (KR)"
"574";38547;"The Three Musketeers (SK)"
"575";38548;"Reset"
"576";38550;"Hangul"
"577";38560;"Super Idol Chartshow"
"578";38561;"The Return of Superman"
"579";38570;"5 Minute Before Chaos"
"580";38612;"Little Women (KR)"
"581";38652;"Show Me The Money (KR)"
"582";38671;"Trio"
"583";38682;"Life is Beautiful (SBS)"
"584";38727;"Manny"
"585";38734;"Full of Sun"
"586";38747;"BTS American Hustle Life"
"587";38748;"Hitmaker"
"588";38756;"Rookie King Channel Bangtan - Bangtan Boys"
"589";38769;"Queen Seon Deok"
"590";38780;"She's So Lovable"
"591";38781;"Secret Door"
"592";38782;"The Greatest Marriage"
"593";38783;"Rosy Lovers"
"594";38785;"Misaeng"
"595";38787;"Liar Game (SK)"
"596";38788;"Bad Guys"
"597";38789;"Modern Farmer"
"598";38790;"The Spring Day of My Life"
"599";38791;"Another Parting"
"600";38792;"Pluto Secret Society"
"601";38793;"Twenty Years Old"
"602";38794;"There is a Bluebird"
"603";38795;"Wonderful Day in October"
"604";39035;"Joseon X-Files: Secret Book"
"605";39126;"Apgujeong Midnight Sun"
"606";39127;"Pride and Prejudice (KR)"
"607";39128;"The Legendary Witch"
"608";39129;"Family Secrets (2014)"
"609";39130;"Tears of Heaven"
"610";39169;"MIX & MATCH"
"611";39227;"Boarding House No. 24"
"612";39278;"I Love Hyun-jung"
"613";39340;"Non-Summit/Abnormal Summit (비정상회담)"
"614";39361;"The Youth in Bare Foot"
"615";39375;"Birth of a Beauty"
"616";39387;"Mr. Baek"
"617";39388;"Sweet Secret"
"618";39406;"Dr. Frost"
"619";39454;"Lady of the Storm"
"620";39455;"You Are The Only One"
"621";39456;"Pinocchio"
"622";39458;"Valid Love"
"623";39459;"Love Frequency 37.2"
"624";39460;"Run, Jang Mi"
"625";39467;"Dating Now"
"626";39479;"I GOT7"
"627";39538;"90:2014"
"628";39551;"I Do, I Do"
"629";39596;"The King's Face"
"630";39605;"Rookie King: Channel Bangtan"
"631";39640;"The Virus"
"632";39651;"XOXO EXO"
"633";39652;"Mystery 6"
"634";39690;"Sweden Laundry"
"635";39704;"Saturday Night Live Korea"
"636";39711;"Healer"
"637";39737;"The Genius"
"638";39755;"Mnet Asian Music Awards (MAMA)"
"639";39767;"Model"
"640";39799;"Golden Timе"
"641";39819;"Punch (2014)"
"642";39828;"Pororo The Little Penguin"
"643";39858;"Match Made in Heaven"
"644";39998;"Ad Madness"
"645";40219;"Tender Hearts"
"646";40289;"Good News (KR)"
"647";40290;"Popcorn (KR)"
"648";40948;"Like Father, Unlike Son"
"649";41524;"Maids"
"650";41525;"Seonam Girls High School Investigators"
"651";41624;"Family Outing [aka The Family Is Coming]"
"652";41633;"Kill Me, Heal Me"
"653";41634;"Persevere, Goo Hae Ra"
"654";41675;"Heart to Heart"
"655";41677;"Fabulous Neighbor"
"656";41678;"Spy (SK)"
"657";41679;"Iron Lady Cha"
"658";41865;"Hyde, Jekyll, Me"
"659";41866;"My Heart Twinkle Twinkle"
"660";41867;"Shine or Go Crazy"
"661";41868;"City of the Sun"
"662";41906;"Style Log"
"663";41979;"I Summon You, Gold"
"664";41984;"2NE1 TV"
"665";42017;"The Dawn of the Empire"
"666";42084;"Команда Зеро"
"667";42094;"VIXX File"
"668";42117;"Ho Goo's Love"
"669";42125;"NO.MERCY (노머시)"
"670";42131;"Да здравствует любовь!"
"671";42132;"Unpretty Rapstar"
"672";42151;"Amazing f(x)"
"673";42175;"Blood"
"674";42189;"Heard It Through the Grapevine"
"675";42191;"Dream Knight"
"676";42234;"Jingbirok"
"677";42235;"Bluebird House"
"678";42236;"Unkind Women"
"679";42311;"VIXX One Fine Day"
"680";42387;"Око дьявола"
"681";42412;"Super Junior Mini-Drama"
"682";42417;"Super Junior Full House"
"683";42430;"Mnet Band of Brothers"
"684";42449;"Healing Camp, Aren't You Happy"
"685";42462;"Super Junior-M Guest House"
"686";42539;"The Girl Who Can See Smells"
"687";42544;"VIXX Plan V Diary"
"688";42564;"Super Daddy Yeol"
"689";42636;"Singer Game (Mnet)"
"690";42672;"Falling for Innocence"
"691";42684;"Angry Mom"
"692";42718;"The Lover"
"693";42732;"Idol Star Athletics Championships"
"694";42750;"Missing Noir M"
"695";42768;"EXO Next Door"
"696";42771;"Let’s Eat 2"
"697";42777;"Where Is My Friend's Home"
"698";42780;"My Unfortunate Boyfriend"
"699";42783;"I Can See Your Voice"
"700";42787;"GIANT"
"701";42793;"Fluttering India"
"702";42804;"Let's Go Dream Team (출발 드림팀)"
"703";42835;"Thank You My Son"
"704";42845;"VIXX TV"
"705";42892;"Paemilli"
"706";42895;"Potato Star 2013QR3"
"707";42914;"Hyuna Free Month"
"708";42921;"Comrades"
"709";42922;"The Musical"
"710";42943;"Invincible Youth"
"711";42947;"Eyes of Dawn"
"712";42958;"Shark"
"713";42962;"Flower of the Queen"
"714";42965;"A Divorce Lawyer in Love"
"715";42980;"MATCH UP: Block B Returns"
"716";42989;"All My Love"
"717";42992;"Signal B - Block B"
"718";43018;"Dr. Mo Clinic"
"719";43033;"The Chaser"
"720";43044;"School 2015: Who Are You?"
"721";43053;"Producer"
"722";43069;"Dream (SBS)"
"723";43070;"Kang Goo's Story"
"724";43081;"One Mom and Three Dads"
"725";43082;"Vampire's Flower"
"726";43084;"Ex-Girlfriend Club"
"727";43099;"Orange Marmalade"
"728";43101;"Bang Ja Chronicles"
"729";43103;"SIXTEEN (JYP)"
"730";43134;"Dating Alone"
"731";43141;"Partner"
"732";43158;"When It's At Night"
"733";43159;"Jumping Girl"
"734";43160;"Road Number One"
"735";43172;"Mackerel Run"
"736";43206;"Little Mom Scandal"
"737";43210;"Masked Prosecutor"
"738";43222;"Warm and Cozy"
"739";43231;"The Girl at Midnight"
"740";43271;"U-Turn"
"741";43272;"Holy Land"
"742";43274;"Hwajung"
"743";43291;"Telecinema"
"744";43308;"Plus Nine Boys"
"745";43335;"Problematic Men (문제적남자)"
"746";43339;"Swallow the Sun"
"747";43353;"Love Cells"
"748";43362;"Music Video Drama"
"749";43370;"I Love Lee Tae Ri"
"750";43371;"Han River Ballad"
"751";43374;"Hello Counselor (안녕하세요)"
"752";43382;"Mask"
"753";43421;"High Society"
"754";43442;"My Love Eun Dong"
"755";43458;"Feel So Goods"
"756";43472;"MTV Beast Almighty"
"757";43497;"My Beautiful Bride"
"758";43529;"4 Things Show"
"759";43555;"Birth Of A Family"
"760";43584;"Seventeen Project"
"761";43636;"Hidden Identity"
"762";43655;"Remember You"
"763";43699;"Girl of 0AM"
"764";43733;"Hyoyeon's Million Likes"
"765";43755;"The Time We Were Not in Love"
"766";43780;"We broke up"
"767";43794;"My Love Eundong - The Beginning"
"768";43795;"King of Mask Singer"
"769";43813;"f(x) Koala"
"770";43815;"Hello f(x)"
"771";43817;"Oh My Ghostess"
"772";43818;"Beast Idol Maid"
"773";43819;"Happy Together (TV-show)"
"774";43827;"Fall in Love with Soon-Jung"
"775";43852;"100 Points Out of 100"
"776";43856;"The Return of Hwang Geum Bok"
"777";43858;"Scholar Who Walks the Night"
"778";43863;"Smile, Dong Hae"
"779";43873;"Bachelor's Vegetable Store"
"780";43912;"B1A4 One Fine Day"
"781";43941;"Sasohan Dojeon 60-cho"
"782";43946;"Hot blood (JYP)"
"783";43949;"Assembly"
"784";43957;"I Order For You"
"785";43966;"Sesame Player"
"786";43973;"Scent of A Man"
"787";43982;"One Sunny Day"
"788";43995;"ToppDogg 3 Days of Summer in Japan"
"789";44002;"Kara Project"
"790";44027;"Heart a tag"
"791";44030;"A Song For You"
"792";44077;"Tae Wang Sa Shin Gi"
"793";44117;"Yong Pal"
"794";44118;"Super Junior One Fine Day"
"795";44124;"Mrs. Cop"
"796";44133;"EXID Showtime"
"797";44184;"Prince's Prince"
"798";44214;"Last"
"799";44228;"Make a Woman Cry"
"800";44232;"Apink's Showtime"
"801";44270;"Poseidon"
"802";44353;"Twenty Again"
"803";44355;"The Virtual Bride"
"804";44379;"I Have a Lover"
"805";44426;"I am A Man (나는 남자다)"
"806";44458;"D-Day"
"807";44459;"She Was Pretty"
"808";44475;"Late Night Restaurant"
"809";44476;"Dong Yi"
"810";44477;"Six Flying Dragons"
"811";44478;"All About My Mom"
"812";44483;"Because It's the First Time"
"813";44497;"Cheer Up!"
"814";44510;"The Village: Achiara's Secret"
"815";44561;"Save the Family"
